DATASET,DOCUMENT,LLM_NAME,TYPE,REPLY,TIME,COST
museo,001_Lineamientos para la eliminación de documentos MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,31.27225579999504,
museo,002_Lineamientos para la transferencia de documentos al AC.md,google/gemma-4-E2B-it,local,informes,37.236779900005786,
museo,003_Lineamientos gestión de documentos MNCR.md,google/gemma-4-E2B-it,local,memorandos,19.1542754000111,
museo,004_Instructivo Cuadro de clasificación MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,17.940514099987922,
museo,40-2025 MN Sofía Irola Rojas.md,google/gemma-4-E2B-it,local,memorandos,0.9963696000049822,
museo,76-2025 MN Sofía Irola Rojas 1.md,google/gemma-4-E2B-it,local,memorandos,0.8242430000100285,
museo,AC-2024-I-001 informe agosto.md,google/gemma-4-E2B-it,local,informes,0.6828643000044394,
museo,AC-2024-O-001.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5719546999898739,
museo,AC-2024-O-002 Remision de diagnostico.md,google/gemma-4-E2B-it,local,informes,1.2804036999878008,
museo,AC-2024-O-003 Cised.md,google/gemma-4-E2B-it,local,memorandos,0.6020732999895699,
museo,ACT MNCR-DAF-AC-001-2024 Servicios Generales.md,google/gemma-4-E2B-it,local,informes,1.5877541999943787,
museo,ACT MNCR-DAF-AC-002-2024 Financiero Contable.md,google/gemma-4-E2B-it,local,memorandos,1.2706184999988182,
museo,AI-2024-As-10 Informacion sobre CISED.md,google/gemma-4-E2B-it,local,correspondencia,0.5299551999924006,
museo,ASISTENCIA- Sofía Irola-07MAR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6522684000083245,
museo,ASISTENCIA- Sofía Irola-10DIC2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.613153099999181,
museo,ASISTENCIA- Sofía Irola-15JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6268769000016619,
museo,ASISTENCIA- Sofía Irola-16ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6648189999978058,
museo,ASISTENCIA- Sofía Irola-16JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6562023000005865,
museo,ASISTENCIA- Sofía Irola-17OCT2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6573313999979291,
museo,ASISTENCIA- Sofía Irola-18FEB2025.md,google/gemma-4-E2B-it,local,expedientesdetrámiteslaborales,0.987348100010422,
museo,ASISTENCIA- Sofía Irola-18JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.7433283999998821,
museo,ASISTENCIA- Sofía Irola-19FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5830857999972068,
museo,ASISTENCIA- Sofía Irola-20 y 24JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6570187000033911,
museo,ASISTENCIA- Sofía Irola-20y21FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6283038000110537,
museo,ASISTENCIA- Sofía Irola-22ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5817108000046574,
museo,ASISTENCIA- Sofía Irola-23SET2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6748259000014514,
museo,ASISTENCIA- Sofía Irola-28-30JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6070414000132587,
museo,ASISTENCIA-Sofia Irola-01NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6211867999954848,
museo,ASISTENCIA-Sofia Irola-05y08NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6208167000004323,
museo,ASISTENCIA-SOFIA IROLA-06DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6371457000059308,
museo,ASISTENCIA-Sofia Irola-06y10SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5985845999966841,
museo,ASISTENCIA-Sofia Irola-10y11DIC2024.md,google/gemma-4-E2B-it,local,,0.245093799996539,
museo,ASISTENCIA-Sofia Irola-12DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6274807999870973,
museo,ASISTENCIA-Sofia Irola-15y21ENE2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,2.274722100002691,
museo,ASISTENCIA-Sofia Irola-16-19DIC2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6406171999988146,
museo,ASISTENCIA-Sofia Irola-17al19SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6167772999906447,
museo,ASISTENCIA-Sofia Irola-18OCT2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6257772999961162,
museo,ASISTENCIA-Sofia Irola-19NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6219378000096185,
museo,ASISTENCIA-Sofia Irola-22NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.606929499990656,
museo,ASISTENCIA-Sofia Irola-26SET2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6302873999957228,
museo,Boleta de Capacitación SIR.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.9523896000027888,
museo,Capacitacion SIR_JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,1.57541879999917,
museo,Capacitación más 12 horas Sofia Irola.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,1.4648806000041077,
museo,Capacitación SIR 7MAR.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.7094190000061644,
museo,Capacitación SIR MICITT.md,google/gemma-4-E2B-it,local,'solicitudesadministrativas',0.8954214999976102,
museo,CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.md,google/gemma-4-E2B-it,local,correspondencia,0.4237826999888057,
museo,CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.md,google/gemma-4-E2B-it,local,correspondencia,1.6029017999971984,
museo,CE-Grettel Monge-14AGO2025.md,google/gemma-4-E2B-it,local,correspondencia,0.7293751999968663,
museo,CIR MNCR-DAF-AC-001-2024.md,google/gemma-4-E2B-it,local,circulares,0.8588675000064541,
museo,CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.md,google/gemma-4-E2B-it,local,circulares,0.4281827000086196,
museo,CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.md,google/gemma-4-E2B-it,local,controles,1.1266174000047613,
museo,CIR_MNCR-DAF-AC-002-2025.md,google/gemma-4-E2B-it,local,circulares,0.463311799991061,
museo,CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.9344707999989624,
museo,CIR_MNCR-DAF-AC-004-2025 plantillas informes.md,google/gemma-4-E2B-it,local,informes,0.9203171999979533,
museo,CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).md,google/gemma-4-E2B-it,local,memorandos,0.7685166000010213,
museo,CIR_MNCR-DAF-AC-006-2025 formularios.md,google/gemma-4-E2B-it,local,circulares,0.6911302999942563,
museo,CIR_MNCR-DAF-AC-007-2025 archivo digital.md,google/gemma-4-E2B-it,local,'memorandos',0.9288660000020172,
museo,CIR_MNCR-DAF-AC-008-2025 comisiones.md,google/gemma-4-E2B-it,local,memorandos,0.7306399999943096,
museo,CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.md,google/gemma-4-E2B-it,local,circulares,0.8094904000026872,
museo,Contrato de Teletrabajo Sofia Irola 1.md,google/gemma-4-E2B-it,local,contratos,0.7650761999975657,
museo,CONTR_ MNCR-DAF-AC-001-2025_Biblio.md,google/gemma-4-E2B-it,local,controles,0.7956955999979982,
museo,CONTR_ MNCR-DPM-016-2025 Traslado de documentos.md,google/gemma-4-E2B-it,local,'controles',1.0076285999966783,
museo,CONTR_MNCR-DPM-02-2025.md,google/gemma-4-E2B-it,local,informes,1.1770042999996804,
museo,CONV_MNCR-DG-AJ-016-2025.md,google/gemma-4-E2B-it,local,memorandos,0.7149809999973513,
museo,DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.md,google/gemma-4-E2B-it,local,memorandos,0.3974372999946354,
museo,DG-2024-O-344 Conformacion CISED.md,google/gemma-4-E2B-it,local,memorandos,0.4836056999920401,
museo,DG-2024-O-345 Diagnostico AC.md,google/gemma-4-E2B-it,local,informes,0.7679878000053577,
museo,DGAN-DG-581-2024 préstamo activos Arch Museo Nac.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6833424000069499,
museo,EVALUACIÓN DEL DESEMPEÑO 2024 SIR febrero.md,google/gemma-4-E2B-it,local,informes,1.5678881999920122,
museo,Factura a Museo por hospedaje Sofia Irola.md,google/gemma-4-E2B-it,local,facturaelectrónica,1.2085814000020036,
museo,FORMULARIO EVALUACIÓN DEL DESEMPEÑO 2024 SIR.md,google/gemma-4-E2B-it,local,informes,1.7855620000045749,
museo,GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.md,google/gemma-4-E2B-it,local,expedientessobrevoluntariado,0.951329399991664,
museo,INF MNCR-DAF-AC-002-2024 setiembre.md,google/gemma-4-E2B-it,local,informes,0.6849564000003738,
museo,INF MNCR-DAF-AC-003-2024 octubre.md,google/gemma-4-E2B-it,local,informes,0.733431800006656,
museo,INF MNCR-DAF-AC-004-2024 teletrabajo octubre.md,google/gemma-4-E2B-it,local,informes,0.9117012999922736,
museo,INF MNCR-DAF-AC-005-2024 noviembre.md,google/gemma-4-E2B-it,local,informes,0.6951509000064107,
museo,INF MNCR-DAF-AC-006-2024 teletrabajo noviembre.md,google/gemma-4-E2B-it,local,informes,1.0142928999994183,
museo,INF MNCR-DAF-AC-007-2024 participación comisiones.md,google/gemma-4-E2B-it,local,informes,0.7517437999922549,
museo,INF MNCR-DAH-101-2024 Reporte de incidente Mapoteca DAH VF 1.md,google/gemma-4-E2B-it,local,informes,0.9521740000054706,
museo,Informe Anual de Desarrollo Archivístico 2024-2025.md,google/gemma-4-E2B-it,local,informes,1.471898899995722,
museo,INF_MNCR-DAF-AC-001-2025 teletrabajo enero.md,google/gemma-4-E2B-it,local,informes,1.14776890000212,
museo,INF_MNCR-DAF-AC-002-2025 labores enero.md,google/gemma-4-E2B-it,local,informes,0.6778215999947861,
