DATASET,CATEGORY,FILE
museo,circulares,CIR MNCR-DAF-AC-001-2024.md
museo,circulares,CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.md
museo,circulares,CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.md
museo,circulares,CIR_MNCR-DAF-AC-002-2025.md
museo,circulares,CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.md
museo,circulares,CIR_MNCR-DAF-AC-004-2025 plantillas informes.md
museo,circulares,CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).md
museo,circulares,CIR_MNCR-DAF-AC-006-2025 formularios.md
museo,circulares,CIR_MNCR-DAF-AC-007-2025 archivo digital.md
museo,circulares,CIR_MNCR-DAF-AC-008-2025 comisiones.md
museo,circulares,CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.md
museo,correspondencia,AC-2024-O-001.md
museo,correspondencia,AC-2024-O-003 Cised.md
museo,correspondencia,AI-2024-As-10 Informacion sobre CISED.md
museo,correspondencia,CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.md
museo,correspondencia,CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.md
museo,correspondencia,DG-2024-O-285 designación_encargada_Archivo_comisión_CIAP.md
museo,correspondencia,DG-2024-O-344 Conformacion CISED.md
museo,correspondencia,DG-2024-O-345 Diagnostico AC.md
museo,correspondencia,DGAN-DG-581-2024 préstamo activos Arch Museo Nac.md
museo,correspondencia,MCJ-DVA-1196-2024 Marlen Palma Traslado deshumificadores al MNCR.md
museo,correspondencia,OF MNCR-JA-386-2024 AC donación deshumidificadores MCJ act27 a25.md
museo,correspondencia,OFI MNCR-DAF-013-2024. Sra. Sofía Irola Rojas. Funciones del puesto.md
museo,correspondencia,OFI MNCR-DAF-035-2025. DG. Representantes Comité Gerencial T.I..md
museo,correspondencia,OFI MNCR-DAF-040-2024 solicitud criterio legal.md
museo,correspondencia,OFI MNCR-DAF-AC-004-2024 Respuesta DG 362.md
museo,correspondencia,OFI MNCR-DAF-AC-005-2024 entrega revistas.md
museo,correspondencia,OFI MNCR-DAF-AC-006-2024 DAH seguimiento.md
museo,correspondencia,OFI MNCR-DAF-AC-008-2024 bienes.md
museo,correspondencia,OFI MNCR-DAF-AC-009-2024 bienes.md
museo,correspondencia,OFI MNCR-DAF-AC-010-2024 deshumidificadores MCJ.md
museo,correspondencia,OFI MNCR-DAF-AC-011-2024 trabajo en diciembre.md
museo,correspondencia,OFI MNCR-DAF-AC-012-2024 UI Computadora.md
museo,correspondencia,OFI MNCR-DAF-AC-013-2024 MCJ acuerdo JA.md
museo,correspondencia,OFI MNCR-DAF-PI-095-2024  Respuesta a oficio OFI MNCR-DAF-AC-008-2024 - Asignación de bienes -colecciones-.md
museo,correspondencia,OFI MNCR-DG-362-2024 Anexo 1 PSJO-124-2024.md
museo,correspondencia,OFI MNCR-DG-362-2024 Anexo 2 Documentos Escaneados.md
museo,correspondencia,OFI MNCR-DG-362-2024 _Solicitud de información piezas pasito Iglesia Colonial Orosi.md
museo,correspondencia,OFI MNCR-DG-459-2024 deshumificador.md
museo,correspondencia,OFI MNCR-DPPC-139-2024 Esculturas Orosí DG.md
museo,correspondencia,OFI MNCR-JA-286-2024 CISED.md
museo,correspondencia,Oficios DPPC 142.md
museo,correspondencia,Oficios DPPC 162.md
museo,correspondencia,OFI_ MNCR-DG-AJ-176-2025 CRITERIO JURIDICO asignación de bienes- colecciones de documentos.md
museo,correspondencia,OFI_MNCR-DAF-AC-008-2025 DG papel.md
museo,correspondencia,OFI_MNCR-DAF-AC-014-2025 Establecer convenio.md
museo,correspondencia,OFI_MNCR-DAF-AC-015-2025 AN deshumidif.md
museo,correspondencia,OFI_MNCR-DAF-AC-016-2025 Inf.md
museo,correspondencia,OFI_MNCR-DAF-AC-022-2025 AI Anexo 1 prueba.md
