DATASET,DOCUMENT,LLM_NAME,TYPE,REPLY,TIME,COST,GROUND_TRUTH
museo,001_Lineamientos para la eliminación de documentos MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,31.27225579999504,,instrumentos técnicos archivísticos
museo,002_Lineamientos para la transferencia de documentos al AC.md,google/gemma-4-E2B-it,local,informes,37.236779900005786,,instrumentos técnicos archivísticos
museo,003_Lineamientos gestión de documentos MNCR.md,google/gemma-4-E2B-it,local,memorandos,19.1542754000111,,instrumentos técnicos archivísticos
museo,004_Instructivo Cuadro de clasificación MNCR.md,google/gemma-4-E2B-it,local,instrumentostécnicosarchivísticos,17.940514099987922,,instrumentos técnicos archivísticos
museo,40-2025 MN Sofía Irola Rojas.md,google/gemma-4-E2B-it,local,memorandos,0.9963696000049822,,expedientes de trámites laborales
museo,76-2025 MN Sofía Irola Rojas 1.md,google/gemma-4-E2B-it,local,memorandos,0.8242430000100285,,expedientes de trámites laborales
museo,AC-2024-I-001 informe agosto.md,google/gemma-4-E2B-it,local,informes,0.6828643000044394,,informes
museo,AC-2024-O-001.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5719546999898739,,correspondencia
museo,AC-2024-O-002 Remision de diagnostico.md,google/gemma-4-E2B-it,local,informes,1.2804036999878008,,instrumentos técnicos archivísticos
museo,AC-2024-O-003 Cised.md,google/gemma-4-E2B-it,local,memorandos,0.6020732999895699,,correspondencia
museo,ACT MNCR-DAF-AC-001-2024 Servicios Generales.md,google/gemma-4-E2B-it,local,informes,1.5877541999943787,,instrumentos técnicos archivísticos
museo,ACT MNCR-DAF-AC-002-2024 Financiero Contable.md,google/gemma-4-E2B-it,local,memorandos,1.2706184999988182,,instrumentos técnicos archivísticos
museo,AI-2024-As-10 Informacion sobre CISED.md,google/gemma-4-E2B-it,local,correspondencia,0.5299551999924006,,correspondencia
museo,ASISTENCIA- Sofía Irola-07MAR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6522684000083245,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-10DIC2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.613153099999181,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-15JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6268769000016619,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-16ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6648189999978058,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-16JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6562023000005865,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-17OCT2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6573313999979291,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-18FEB2025.md,google/gemma-4-E2B-it,local,expedientesdetrámiteslaborales,0.987348100010422,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-18JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.7433283999998821,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-19FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5830857999972068,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-20 y 24JUN2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6570187000033911,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-20y21FEB2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6283038000110537,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-22ABR2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.5817108000046574,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-23SET2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6748259000014514,,expedientes de trámites laborales
museo,ASISTENCIA- Sofía Irola-28-30JUL2025.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6070414000132587,,expedientes de trámites laborales
museo,ASISTENCIA-Sofia Irola-01NOV2024.md,google/gemma-4-E2B-it,local,solicitudesadministrativas,0.6211867999954848,,expedientes de trámites laborales
