DATASET,CATEGORY
museo,correspondencia
museo,circulares
museo,memorandos
museo,informes
museo,minutas de reuniones
museo,controles
museo,solicitudes administrativas
museo,expedientes de proyectos y programas institucionales
museo,expedientes de trámites laborales
museo,expedientes de transferencias de documentos
museo,instrumentos técnicos archivísticos
museo,expedientes sobre voluntariado
museo,expedientes de tablas de plazos
jurídico,consultoría
jurídico,gestión judicial
jurídico,gestión notarial y registral
archivo,correspondencia
archivo,circulares
archivo,informes de labores
archivo,minutas de reuniones
archivo,expedientes de trámites administrativos
archivo,controles
archivo,expedientes de transferencias de documentos
archivo,informes técnicos
archivo,expedientes de proyectos y programas institucionales
archivo,actas de eliminación de documentos
archivo,expedientes de tablas de plazos
archivo,informes de participación en comisión interinstitucional de encargados de archivos públicos
archivo,instrumentos técnicos archivísticos
archivo,expedientes de trámites laborales
archivo,expedientes de tablas de control de acceso
