pdf,dataset,categoria
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2024\CIR MNCR-DAF-AC-001-2024.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2024\CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-002-2025.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-004-2025 plantillas informes.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-006-2025 formularios.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-007-2025 archivo digital.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-008-2025 comisiones.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Circulares\2025\CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.pdf,museo,circulares
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Archivo Nacional\2024\AC-2024-O-001.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Archivo Nacional\2024\DGAN-DG-581-2024 préstamo activos Arch Museo Nac.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Archivo Nacional\2024\Recomendaciones_atención_material_gráfico_MNCR.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Archivo Nacional\2025\CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Archivo Nacional\2025\OFI_MNCR-DAF-AC-015-2025 AN deshumidif.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Asesoría Jurídica\OFI_ MNCR-DG-AJ-176-2025 CRITERIO JURIDICO asignación de bienes- colecciones de documentos.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Auditoría Interna\AI-2024-As-10 Informacion sobre CISED.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Auditoría Interna\OFI_MNCR-DAF-AC-022-2025 AI Anexo 1 prueba.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Auditoría Interna\OFI_MNCR-DAF-AC-022-2025 AI Anexo 2 MICITT-DGDCFD-OF-000132-2025.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Auditoría Interna\OFI_MNCR-DAF-AC-022-2025 AI.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Biblioteca\OFI MNCR-DAF-AC-005-2024 entrega revistas.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Comisiones institucionales\NICSP\OFI_MNCR-DAF-AC-023-2025 Comision NICSP.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Comité Nacional Memoria del Mundo\RNMM-034-2025.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Comité Nacional Memoria del Mundo\RNMM-036-2025.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Administracion y Finanz\2024\OFI MNCR-DAF-013-2024. Sra. Sofía Irola Rojas. Funciones del puesto.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Administracion y Finanz\2024\OFI MNCR-DAF-040-2024 solicitud criterio legal.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Administracion y Finanz\2024\OFI MNCR-DAF-AC-011-2024 trabajo en diciembre.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Administracion y Finanz\2025\OFI MNCR-DAF-035-2025. DG. Representantes Comité Gerencial T.I..pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Antropolgía e Historia (DAH)\2024\OFI MNCR-DAF-AC-006-2024 DAH seguimiento.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Antropolgía e Historia (DAH)\2025\OFI_MNCR-DAH-214-2025 avance en inventario de mapas.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Protección al Patrimonio (DPPC)\2024\OFI MNCR-DPPC-139-2024 Esculturas Orosí DG.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Protección al Patrimonio (DPPC)\2024\Oficios DPPC 142.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dep. Protección al Patrimonio (DPPC)\2024\Oficios DPPC 162.pdf,museo,correspondencia
C:\\Users\\PC\\Downloads\\A\Museo\Correspondencia\Dirección General\2024\AC-2024-O-003 Cised.pdf,museo,correspondencia
