DATASET,CATEGORY
jurídico,Autodeterminación informativa
jurídico,Consentimiento informado
jurídico,Proyectos de ley
jurídico,Actas
jurídico,Grabación de sesiones
jurídico,Miembros-ausencias
jurídico,Votación-abstención
jurídico,Dedicación exclusiva
jurídico,Estabilidad impropia
jurídico,Incapacidades
jurídico,Lactancia
jurídico,Permiso con goce de salario-estudio
museo,Correspondencia 
museo,Circulares 
museo,Memorandos
museo,Informes
museo,Minutas de reuniones
museo,Controles
museo,Solicitudes administrativas
museo,Expedientes de proyectos y programas institucionales
museo,Expedientes de trámites laborales
museo,Expedientes de transferencias de documentos 
museo,Instrumentos técnicos archivísticos
museo,Expedientes sobre voluntariado (pasantías y prácticas estudiantiles)
museo,Expedientes de tablas de plazos
