dataset,document,expected_label,model_name,provider,model_group,model_access_type,model_api_id,response,normalized_response,is_valid_category,elapsed_time,input_tokens,output_tokens,total_tokens,estimated_cost,chars_processed,error_message,timestamp
museo,datasets_md\museo\SOL MNCR-DAF-11DIC2024 Transporte AC.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.9557364999782292,1169.0,13.0,1182.0,0.0061699999999999,1232,,2026-06-23T23:04:51.645388+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-15y21ENE2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.3045671000145376,956.0,13.0,969.0,0.005105,679,,2026-06-23T22:59:53.925756+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-16-19DIC2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.2102992000291124,1148.0,15.0,1163.0,0.006115,1063,,2026-06-23T22:59:55.154700+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-17al19SET2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.2013358999975026,1117.0,13.0,1130.0,0.0059099999999999,981,,2026-06-23T22:59:56.371416+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-18OCT2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.1927794000366705,1125.0,13.0,1138.0,0.0059499999999999,991,,2026-06-23T22:59:57.580499+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-19NOV2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.1731443000026047,1127.0,13.0,1140.0,0.0059599999999999,1010,,2026-06-23T22:59:58.765949+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-22NOV2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.372853299952112,1114.0,13.0,1127.0,0.005895,982,,2026-06-23T23:00:00.158315+00:00
museo,datasets_md\museo\ASISTENCIA-Sofia Irola-26SET2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.6126131999772042,1091.0,13.0,1104.0,0.0057799999999999,917,,2026-06-23T23:00:01.785585+00:00
museo,datasets_md\museo\Boleta de Capacitación SIR.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.4459800000768157,2507.0,15.0,2522.0,0.01291,3962,,2026-06-23T23:00:03.247798+00:00
museo,datasets_md\museo\Capacitacion SIR_JUL2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.4890742000425234,3012.0,13.0,3025.0,0.015385,5000,,2026-06-23T23:00:04.752121+00:00
museo,datasets_md\museo\Capacitación más 12 horas Sofia Irola.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,solicitudes administrativas,solicitudesadministrativas,True,1.835295400000177,3000.0,13.0,3013.0,0.015325,5000,,2026-06-23T23:00:06.604746+00:00
museo,datasets_md\museo\Capacitación SIR 7MAR.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.511898700031452,1864.0,15.0,1879.0,0.009695,2848,,2026-06-23T23:00:08.131096+00:00
museo,datasets_md\museo\Capacitación SIR MICITT.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.4238995000487191,2004.0,15.0,2019.0,0.010395,3145,,2026-06-23T23:00:09.571547+00:00
museo,datasets_md\museo\CARTA-DGAN-DG-412-2025 Respuesta OFI MNCR-DAF-AC-015-2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,controles de préstamo de documentos,controlesdepréstamodedocumentos,True,1.4062487999908626,1245.0,15.0,1260.0,0.0066,1386,,2026-06-23T23:00:10.992916+00:00
museo,datasets_md\museo\CE-17SET2024-Ifigenia Quintanilla Participacion en Comite nacional.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.6961459000594914,3194.0,9.0,3203.0,0.0161949999999999,5000,,2026-06-23T23:00:12.706754+00:00
museo,datasets_md\museo\CE-Grettel Monge-14AGO2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,correspondencia,correspondencia,True,1.272663899930194,2416.0,9.0,2425.0,0.012305,3580,,2026-06-23T23:00:13.997939+00:00
museo,datasets_md\museo\CIR MNCR-DAF-AC-001-2024.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.2359058000147345,3018.0,7.0,3025.0,0.0152649999999999,5000,,2026-06-23T23:00:15.254462+00:00
museo,datasets_md\museo\CIR MNCR-DG-004-2024_Lineamientos_Archivo_Central.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.3871265999041498,1452.0,7.0,1459.0,0.007435,2094,,2026-06-23T23:00:16.659180+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-001-2025_Gestion de doc 2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.591561899986118,2756.0,7.0,2763.0,0.013955,5000,,2026-06-23T23:00:18.266323+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-002-2025.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.291965499985963,1814.0,7.0,1821.0,0.009245,2777,,2026-06-23T23:00:19.576932+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-003-2025 Normalizacion formularios.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.694433799944818,2812.0,7.0,2819.0,0.014235,5000,,2026-06-23T23:00:21.287635+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-004-2025 plantillas informes.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.4131880999775603,2625.0,7.0,2632.0,0.0133,5000,,2026-06-23T23:00:22.718005+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-005-2025 recordatorio responsabilidad doc (1).md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.6104087999556214,2718.0,7.0,2725.0,0.013765,5000,,2026-06-23T23:00:24.342437+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-006-2025 formularios.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.2504470000276342,2358.0,7.0,2365.0,0.0119649999999999,3937,,2026-06-23T23:00:25.611657+00:00
jurídico,datasets_md\jurídico\Dictamen OJ-1041-2023.md,,gpt_5_nano_high,openai,lightweight,api,gpt-5-nano,consultoría,consultoría,True,12.36915060004685,1407.0,1314.0,2721.0,0.00059595,5000,,2026-06-24T01:27:30.836562+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-008-2025 comisiones.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.5621600999729708,2717.0,7.0,2724.0,0.01376,5000,,2026-06-23T23:00:28.723711+00:00
museo,datasets_md\museo\CIR_MNCR-DAF-AC-009-2025 plantillas y formularios.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,circulares,circulares,True,1.362517400062643,2876.0,7.0,2883.0,0.014555,5000,,2026-06-23T23:00:30.102699+00:00
museo,datasets_md\museo\Contrato de Teletrabajo Sofia Irola 1.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,expedientes de trámites laborales,expedientesdetrámiteslaborales,True,1.434883699985221,2793.0,15.0,2808.0,0.01434,5000,,2026-06-23T23:00:31.554446+00:00
museo,datasets_md\museo\CONTR_ MNCR-DAF-AC-001-2025_Biblio.md,,claude_opus_4_7_thinking,anthropic,main,api,claude-opus-4-7,controles de préstamo de documentos,controlesdepréstamodedocumentos,True,2.345636200043373,1272.0,15.0,1287.0,0.006735,1307,,2026-06-23T23:00:33.915096+00:00
